S.No,Data,Source,Label,Title
1,"Hypermobile EDS (hEDS, formerly categorized as type 3) is mainly characterized by hypermobility that affects both large and small joints. It may lead to frequent joint subluxations (partial dislocations) and dislocations. In general, people with this variant have skin that is soft, smooth, and velvety and bruises easily, and may have chronic muscle and/or bone pain.  It affects the skin less than other forms. It has no available genetic test.  hEDS is the most common of the 19 types of connective tissue disorders. Since no genetic test exists, providers have to diagnose hEDS based on what they already know about the condition and the physical attributes that the patient shows. Other than the general signs, attributes can include faulty connective tissues throughout the body, musculoskeletal issues, and family history. Along with these general signs and side effects, patients can have trouble healing.",https://en.wikipedia.org/wiki/Ehlers%E2%80%93Danlos_syndromes,hEDS,Ehlersâ€“Danlos syndromes Wikipedia
2,"Women who are pregnant should be warned about things such as pre-labor rupture of membranes, drop in blood pressure with anesthesia, precipitate birth (very fast, active labor), malposition of bleeding, and more. New mothers with hEDS should pay extra attention to taking care of their new babies. Mothers may have trouble taking care of the baby because of the risk of dropping the baby due to weak connective tissue in arms and legs, falling, postpartum depression (more than the general population), and healing from the birthing process.[14]

Genetics of Hypermobile EDS While 12 of the 13 subtypes of EDS have genetic variations that can be tested for by genetic testing, there is currently no known genetic cause of hEDS. Despite the unknown gene, hEDS appears to follow an autosomal dominant pattern of inheritance[citation needed]. This means that in order to be affected, an individual only needs a mutation in one copy of the responsible (unknown) gene in each cell. This mutation can either be inherited from a parent or may be a de novo (new) mutation in the gene. An individual with hEDS has a 50% chance of passing their mutated gene onto their children.",https://en.wikipedia.org/wiki/Ehlers%E2%80%93Danlos_syndromes,hEDS,Ehlersâ€“Danlos syndromes Wikipedia
3,"Classical EDS (formerly categorized as type 1) is characterized by extremely elastic skin that is fragile and bruises easily; and hypermobility of the joints. Molluscoid pseudotumors (calcified hematomas that occur over pressure points) and spheroids (cysts that contain fat occurring over forearms and shins) also are seen often. A side complication of the hyperelasticity presented in many cases of EDS makes wounds closing on their own more difficult.[22] Sometimes, motor development is delayed and hypotonia occurs.[4] The variation causing this type of EDS is in the genes COL5A2, COL5A1, and less frequently COL1A1. It involves the skin more than hEDS.[23] In classical EDS, large variation in symptom presentation from patient to patient often is seen. Because of this variance, EDS has often been an underdiagnosed disorder.[24] Without genetic testing, healthcare professionals may be able to provide a provisional diagnosis based on careful examination of the mouth, skin, and bones, as well as through neurological assessments.[25] The hyperelasticity of skin in EDS patients can be difficult to use in diagnosis because no good standardized way to measure and assess the elasticity of the skin is known, but hyperelasticity is still a good indicator as something that may point towards EDS along with other symptoms.[citation needed]

A good way to begin the diagnosis process is looking at family history; EDS is an autosomal dominant condition, so is often inherited from family members.[22] Genetic testing remains the most reliable way for an EDS diagnosis to be made.[26] While no cure for type 1 EDS has been found, a course of non-weight-bearing exercising can help with muscular tension, which can help correct some of the symptoms of EDS. Anti-inflammatory drugs and lifestyle changes can help with joint pain. Lifestyle choices should also be made with children who have EDS to try to prevent wounds to the skin. Wearing protective garments can help with this. In a wound, deep stitches are often used and left in place for a longer period of time than normal.[22]",https://en.wikipedia.org/wiki/Ehlers%E2%80%93Danlos_syndromes,cEDS,Ehlersâ€“Danlos syndromes Wikipedia
4,"Vascular EDS (formerly categorized as type 4) is identified by skin that is thin, translucent, extremely fragile, and bruises easily. It is also characterized by fragile blood vessels and organs that can easily rupture. Affected people are frequently short, and have thin scalp hair. It also has characteristic facial features including large eyes, an undersized chin, sunken cheeks, a thin nose and lips, and ears without lobes.[27] Joint hypermobility is present, but generally confined to the small joints (fingers, toes). Other common features include club foot, tendon and/or muscle rupture, acrogeria (premature aging of the skin of the hands and feet), early-onset varicose veins, pneumothorax (collapse of a lung), the recession of the gums, and a decreased amount of fat under the skin.[4] It can be caused by the variations in the COL3A1 gene.[27] Rarely, COL1A1 variations can also cause it.",https://en.wikipedia.org/wiki/Ehlers%E2%80%93Danlos_syndromes,vEDS,Ehlersâ€“Danlos syndromes Wikipedia
5,"Joint hypermobility syndrome/Ehlers-Danlos syndrome hypermobility type (JHS/EDS-HT) is an evolving and protean disorder mostly recognized by generalized joint hypermobility and without a defined molecular basis. JHS/EDS-HT also presents with other connective tissue features affecting a variety of structures and organs, such as skin, eye, bone, and internal organs. However, most of these signs are present in variable combinations and severity in many other heritable connective tissue disorders. Accordingly, JHS/EDS-HT is an ""exclusion"" diagnosis which needs the absence of any consistent feature indicative of other partially overlapping connective tissue disorders. While both Villefranche and Brighton criteria include such an exclusion as a mandatory item, a systematic approach for reaching a stringent clinical diagnosis of JHS/EDS-HT is still lacking. The absence of a consensus on the diagnostic approach to JHS/EDS-HT concerning its clinical boundaries with similar conditions contribute to limit our actual understanding of the pathologic and molecular bases of this disorder. In this review, we revise the differential diagnosis of JHS/EDS-HT with those heritable connective tissue disorders which show a significant overlap with the former and mostly include EDS classic, vascular and kyphoscoliotic types, osteogenesis imperfecta, Marfan syndrome, Loeys-Dietz syndrome, arterial tortuosity syndrome, and lateral meningocele syndrome. A diagnostic flow chart is also offered with the attempt to support the less experienced clinician in stringently recognizing JHS/EDS-HT and stimulate the debate in the scientific community for both management and research purposes.",https://pubmed.ncbi.nlm.nih.gov/25821090/,hEDS,Differential diagnosis and diagnostic flow chart of joint hypermobility syndrome/ehlers-danlos syndrome hypermobility type compared to other heritable connective tissue disorders
6,"Rheumatoid arthritis (RA) is a common systemic inflammatory autoimmune disease characterized by painful, swollen joints that can severely impair physical function and quality of life. The presenting symptoms of musculoskeletal pain, swelling, and stiffness are common in clinical practice, so familiarity with diagnosing and managing RA is crucial. Patients with RA are at greater risk for serious infection, respiratory disease, osteoporosis, cardiovascular disease, cancer, and mortality than the general population. In recent years, early diagnosis, aggressive treatment, and expanded therapeutic options of disease-modifying antirheumatic drugs have markedly improved both the management and long-term prognosis of RA",https://pubmed.ncbi.nlm.nih.gov/30596879/,Rheumatoid Arthritis,Rheumatoid Arthritis
7,"Symptomatic Joint Hypermobility
Clinical problems associated with JH may present at any time of life. Syndromic or excessive JH can be difficult to diagnose in children, who are normally more flexible than adults [Tofts et al., 2009; Castori, 2012]. GJH is often diagnosed using the Beighton score (see also â€œMeasurement properties of existing clinical assessment methods for local and generalized joint hypermobilityâ€”a systematic review,â€ Juul-Kristensen et al., this issue), although this has major limitations in selected populations, such as the very young and the elderly [Dolan et al., 2003; Castori, 2012]. It can be asymptomatic, and is more common among dancers and elite athletes where it may confer a constitutional advantage [Day et al., 2011; Beighton et al., 2012]; however, it may predispose to higher injury rates [Briggs et al., 2009; Konopinski et al., 2015].

When symptomatic, it often manifests in childhood or adolescence, along with associated features, but is often poorly recognized [Engelbert et al., 2003]. Adults may recall being flexible as a child, and being able to perform â€œparty tricksâ€ with their joints. The two more common patterns of presentation are with: (1) a limited number of painful and/or unstable joints or (2) chronic widespread musculoskeletal pain (which may have been diagnosed as fibromyalgia). In the former group, the more common problematic or unstable joints often presenting with recurrent subluxations/dislocations or pain are the shoulder, knee, and ankle [Tobias et al., 2013]. Iliotibial band syndrome (sometimes called â€œsnapping hipâ€ syndrome) is also common, and is frequently perceived by the patient as hip instability, even though the sense of motion occurs over the greater trochanters and not in the groin. In the group with chronic widespread musculoskeletal pain, the pain distribution and descriptions often overlap with fibromyalgia to such an extent that it can be virtually impossible to distinguish [Ofluoglu et al., 2006; Ting et al., 2012]. It is important to recognize that there are many causes for both localized and widespread joint or musculoskeletal pain, and that the presence of pain alone without associated JH is insufficient to establish a diagnosis of EDS. Over time, many patients lose their former joint laxity, while others remain hypermobile [Castori, 2012]. This reduction in JH over time further complicates the diagnostic evaluation of chronic pain patients over approximately age 40.

In common with other chronic pain syndromes, there may also be overlapping diagnoses such as chronic fatigue, irritable bowel syndrome, temporomandibular joint dysfunction, sleep disturbance, as well as depression and anxiety. The specific associated impairments and their severity can vary markedly, and are not necessarily associated with the degree of joint laxity. Higher rates of anxiety and depression have been noted in GJH, hEDS, and JHS since 1994 [Lumley et al., 1994; Mallorqui-BaguÃ© et al., 2015]. Distress, kinesiophobia, and individualsâ€™ coping strategies and behavioral responses are more likely to predict impairment and quality of life (QoL) than the intensity of pain [Celletti et al., 2013]. Physical deconditioning can exacerbate joint laxity, contributing to an ongoing cycle of deconditioning, weakness, joint instability, and worsening pain [Castori, 2012].

In common with other chronic pain syndromes, there may also be overlapping diagnoses such as chronic fatigue, irritable bowel syndrome, temporomandibular joint dysfunction, sleep disturbance, as well as depression and anxiety. The specific associated impairment and their severity can vary markedly, and are not necessarily associated with the degree of joint laxity.

Pain
The specific underlying cause(s) and mechanism(s) of pain in EDS, and in particular hEDS, are not well understood, but both acute and chronic pain are common manifestations and often contribute to disability [Rombaut et al., 2010, 2011a,2011b, 2012; Voermans et al., 2010a,2010b; Castori et al., 2012a; Murray et al., 2013]. Nociceptive pain directly related to affected muscles, joints, and connective tissue is frequent. Neuropathic pain, characterized by allodynia and/or typical quality descriptors, such as electrical, burning, numb, or tingling, is also common. Anatomic imaging (e.g., for impingement of the central spine or foraminal nerve roots) and functional electrodiagnostic studies (e.g., nerve conduction studies or electromyography) are often negative even in the face of subjective symptoms highly suggestive of a neuropathic etiology. Skin biopsy may reveal reduction of intradermal nerve fiber density, suggestive of small fiber neuropathy [Cazzato et al., 2016].

Some potential etiologies of pain include spasm of muscles, tendons, and other connective tissue; direct trauma due to joint instability; and nerve entrapment [Granata et al., 2013]. Osteoarthritis, secondary to joint instability, is also a likely factor. Central sensitization, generalized hyperalgesia, chronic regional pain syndrome, and similar systemic or regional pathogenic mechanisms may contribute in later stages [Castori et al., 2013; Rombaut et al., 2015; Scheper et al., 2015, 2016a; Di Stefano et al., 2016]. See also â€œPain Management in the Ehlersâ€“Danlos Syndromesâ€ by Chopra et al., this issue.

Skin and Fascia
The Ehlersâ€“Danlos syndromes are primarily due to disorders of connective tissue matrix proteins, in particular, but not exclusively collagen (see also â€œThe Ehlersâ€“Danlos Syndromes: The Newâ€ by Malfait et al., this issue). It is presumed that the genetic determinants of hEDS are also likely of collagen or collagen-related genes. The dermis comprises 70% dry-weight collagen so that the skin presents itself as a visible, palpable, and readily accessible organ for the study of collagen-related genetic aberrations. The skin in hEDS is different from normal skin and these differences constitute an important aid to diagnosis. In hEDS, the skin texture is characteristically soft, silky, or velvety to the touch. It may be semi-transparent so that veins and tendons are more easily visible than normal, but this is subtle in comparison with the skin transparency of vascular EDS.

The skin in hEDS is also hyperextensible. The technique used is important in obtaining reliable results. The stretchiness is subtle in hEDS and can easily be overlooked if the clinician is anticipating the degree of stretch seen in classical EDS. The â€œrubber glove skin testâ€ may distinguish between hEDS skin and normal, by raising a skin fold on the dorsum of the hand in patients with hEDS, the skin is seen to stretch over a much wider area than is normal, extending to the wrist and beyond. However, the clinical evaluation of skin laxity follows that outlined in the new diagnostic criteria for hEDS (see also â€œThe 2017 International Classification of the Ehlersâ€“Danlos Syndromesâ€ by Malfait et al., this issue).

The hEDS skin is more fragile than normal, but much less so than in the other types of EDS. Easy bruising is common but poorly defined. Wound healing may be impaired with the production of mildly atrophic scars, which may be wider than the original wound and/or sunken below the surface of the surrounding skin. Again, the degree of atrophic scarring in hEDS is less severe than in and usually distinguishable from the other types of EDS (Fig. 2). However, its occurrence may be exacerbated by the use of local or systemic steroids [Jacks and Zirwas, 2016].",https://onlinelibrary.wiley.com/doi/full/10.1002/ajmg.c.31538,hEDS,Hypermobile Ehlersâ€“Danlos syndrome (a.k.a. Ehlersâ€“Danlos syndrome Type III and Ehlersâ€“Danlos syndrome hypermobility type): Clinical description and natural history
8,"About fibromyalgiaFibromyalgia, also called fibromyalgia syndrome (FMS), is a long-term condition that causes pain all over the body.As well as widespread pain, people with fibromyalgia may also have:increasedÂ sensitivity to painfatigue (extreme tiredness)muscle stiffnessdifficulty sleepingproblems with mental processes (known as ""fibro-fog"") â€“ such as problems with memory and concentrationheadachesirritable bowel syndrome (IBS) â€“ a digestive condition that causes stomach pain and bloatingIf you think you have fibromyalgia, visit your GP. Treatment is available to ease some of its symptoms, although they're unlikely to disappear completely.Read more about the symptoms of fibromyalgia.What causes fibromyalgia?The exactÂ cause of fibromyalgiaÂ is unknown, but it's thought to be related to abnormal levels of certain chemicals in the brain and changes in the wayÂ the central nervous system (brain, spinal cord and nerves) processes pain messages carried around the body.It's also suggested that some people are more likely to develop fibromyalgia because of genes inherited from their parents.InÂ many cases, the conditionÂ appears to be triggered by a physically or emotionally stressful event, such as:an injury or infectiongiving birthhaving an operationthe breakdown of a relationshipÂ the death of a loved oneRead more about the causes of fibromyalgia.Who's affected?Anyone can develop fibromyalgia, although it affects around seven times as many women as men. The condition typically develops between the ages of 30 and 50, but can occur in people of any age, including children and the elderly.It's not clear exactly how many people are affected by fibromyalgia, although research has suggested it could be a relatively common condition. Some estimates suggest nearly 1 in 20 peopleÂ may be affected by fibromyalgia to some degree.One of the main reasons it's not clear how many people are affected isÂ because fibromyalgia can be a difficult condition to diagnose. There's no specific test for the condition, and the symptoms can be similar to a number ofÂ other conditions.Read more about diagnosing fibromyalgia.How fibromyalgia is treatedAlthough there's currently no cure for fibromyalgia,Â there are treatments to help relieve some of the symptoms and make the condition easier to live with.Treatment tends to be a combination of:medication â€“ such asÂ antidepressants and painkillerstalking therapies â€“ such asÂ cognitive behavioural therapy (CBT) and counsellinglifestyle changes â€“ such as exercise programmes and relaxation techniquesExercise in particular has been found to have a number of important benefits for people with fibromyalgia, including helping to reduce pain.Read more about:Â treating fibromyalgiaself-help for fibromyalgiaSupport groupsMany people with fibromyalgia find that support groups provide an important network where they can talk to others living with the condition.Fibromyalgia Action UKÂ is a charity that offers information and support to people with fibromyalgia. If you have any questions about fibromyalgia, call the charity's helpline on 0300 999 3333.The charity also has a network of localÂ support groupsÂ you may find helpful and aÂ online community, where you can find out about news, events and ongoing research into the condition.Another support group you may find useful is UK Fibromyalgia.",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions/fibromyalgia/,Fibromyalgia,FibromyalgiaNHS
9,"          Importance:                    Fibromyalgia is present in as much as 2% to 8% of the population, is characterized by widespread pain, and is often accompanied by fatigue, memory problems, and sleep disturbances.              Objective:                    To review the epidemiology, pathophysiology, diagnosis, and treatment of fibromyalgia.              Evidence review:                    The medical literature on fibromyalgia was reviewed from 1955 to March 2014 via MEDLINE and the Cochrane Central Registry of Controlled Trials, with an emphasis on meta-analyses and contemporary evidence-based treatment guidelines. Treatment recommendations are based on the most recent evidence-based guidelines from the Canadian Pain Society and graded from 1 to 5 based on the level of available evidence.              Findings:                    Numerous treatments are available for managing fibromyalgia that are supported by high-quality evidence. These include nonpharmacological therapies (education, exercise, cognitive behavioral therapy) and pharmacological therapies (tricyclics, serotonin norepinephrine reuptake inhibitors, and gabapentinoids).              Conclusions and relevance:                    Fibromyalgia and other ""centralized"" pain states are much better understood now than ever before. Fibromyalgia may be considered as a discrete diagnosis or as a constellation of symptoms characterized by central nervous system pain amplification with concomitant fatigue, memory problems, and sleep and mood disturbances. Effective treatment for fibromyalgia is now possible.    ",https://pubmed.ncbi.nlm.nih.gov/24737367/,Fibromyalgia,Fibromyalgia: a clinical review
10,"About rheumatoid arthritisRheumatoid arthritis is a long-term condition that causes pain, swelling and stiffness in the joints.The hands, feet and wrists are commonly affected, but it can also cause problems in other parts of the body.There may be periods where your symptoms become worse, known as a flare-up or flare. A flare can be difficult to predict, but with treatment it is possible to decrease the number of flares and minimise or prevent long-term damage to the joints.Read more about the symptoms of rheumatoid arthritis and living with rheumatoid arthritis.When to seek medical adviceYou should see your GP if you think you have symptoms of rheumatoid arthritis, so your GP can try to identify the underlying cause.Diagnosing rheumatoid arthritis quickly is important because early treatment can help stop the condition getting worse and reduce the risk of further problems such as joint damage.Read more about diagnosing rheumatoid arthritis.What causes rheumatoid arthritis?Rheumatoid arthritis is an autoimmune disease. This means that your immune system â€“ which usually fights infection â€“ attacks the cells that line your joints by mistake, making them swollen, stiff and painful.Over time, this can damage the joint itself, the cartilage and nearby bone.It's not clear what triggers this problem with the immune system, although you are at an increased risk if you are a woman, you have a family history of rheumatoid arthritis, or you smoke.Read more about the causes of rheumatoid arthritis.Who is affectedRheumatoid arthritis affects around 400,000 people in the UK.It can affect adults at any age, but most commonly starts between the ages of 40 and 50. About three times as many women as men are affected.HowÂ rheumatoid arthritis is treatedThere is no cure for rheumatoid arthritis, but early diagnosis and appropriate treatment enables many people with rheumatoid arthritis to have periods of months or even years between flares and to be able to lead full lives and continue regular employment.The main treatment options include:medication that is taken in the long-term to relieve symptoms and slow the progress of the conditionsupportive treatments, such as physiotherapyÂ and occupational therapy, to help keep you mobile and find ways around any problems you have with daily activitiessurgery to correct any joint problems that developÂ Read more about treating rheumatoid arthritis.Possible complicationsHaving rheumatoid arthritis can lead to several other conditions that may cause additional symptoms and can sometimes be life-threatening.Possible complications include carpal tunnel syndrome, inflammation of other areas of the body (such as the lungs, heart and eyes), and an increased risk of heart attacks and strokes.Ensuring that rheumatoid arthritis is well controlled helps reduce your risk of complications such as these.Read more about the complications of rheumatoid arthritis.",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions/rheumatoid-arthritis/,Rheumatoid Arthritis,Rheumatoid arthritis NHS
